,rank,title,artist,other artists,year,Spotify id,Popularity
203,4,Roses Are Red (My Love),Bobby Vinton,None,1962,0qYok0f8O5DE8yJSo146dn,47
204,5,The Stripper,David Rose,None,1962,00vH2PsEQTGRyJYhyIyDbr,32
205,6,Johnny Angel,Shelley Fabares,None,1962,6XEW0P64pYXfD06e4oLcWz,39
206,7,The Loco-Motion,Little Eva,None,1962,1hClDWPgajpLIFjLOkFuau,48
207,8,Let Me In,The Sensations,None,1962,1FY6i2ypBOzsMHU2mWXMA9,20
208,9,The Twist,Chubby Checker,None,1962,4YCnTYbq3oL1Lqpyxg33CU,61
209,10,Soldier Boy,The Shirelles,None,1962,6g4Oyy8IwraOjPl7nqnROq,38
210,11,Hey! Baby,Bruce Channel,None,1962,0obIo2GEab6qqms6t3JaMY,63
211,12,The Wanderer,Dion,None,1962,3v8d3ku3kiTZVPxEt7a2dE,59
212,13,Duke of Earl,Gene Chandler,None,1962,6Hy22YDN9HJMRlJP1LwnJy,55
213,14,Palisades Park,Freddy Cannon,None,1962,2qi7QEyfxL2Z2ez9Rd51e0,41
214,15,Breaking Up Is Hard to Do,Neil Sedaka,None,1962,2x6pbpjVGjiWCcH89IK8AX,63
215,16,Wolverton Mountain,Claude King,None,1962,7GjmzKbriJewFNDPJtVjey,44
216,17,Slow Twistin',Chubby Checker,Dee Dee Sharp,1962,6Ie2IgHpf1Pgdo5swugul3,33
217,18,It Keeps Right On a-Hurtin',Johnny Tillotson,None,1962,7d0sUxZ1O3zyM5B8t6CYST,32
218,19,The One Who Really Loves You,Mary Wells,None,1962,4M732X5J2BE6M8VIHHfxMx,50
219,20,Good Luck Charm,Elvis Presley,None,1962,19gotedXtqeE8dWju6WURW,57
220,21,Midnight in Moscow,Kenny Ball,None,1962,1FK2eVZehS2SzBjwrsQCI5,39
221,22,Sheila,Tommy Roe,None,1962,5Mzu8smN6fRBCaUaTytD1W,42
222,23,Twistin' the Night Away,Sam Cooke,None,1962,7FS541dJh3iQAEXEZoDhE6,64
223,24,The Wah-Watusi,The Orlons,None,1962,1txHbsMQPOPqjigbBXTULL,40
224,25,Peppermint Twist,Joey Dee,the Starliters,1962,4vFuebQvxexME3dTs99ifv,35
225,26,Break It to Me Gently,Brenda Lee,None,1962,5JccvAiwcZ7n3urnXqWPsG,59
226,27,Playboy,The Marvelettes,None,1962,5jsxE1nDuRrEgN9gmbWWYS,44
227,28,Ramblin' Rose,Nat King Cole,None,1962,6bZlab0NrNteVppLu9C2Zy,50
