,rank,title,artist,other artists,year,Spotify id,Popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration,time_signature
51,52,He'll Have to Stay,Jeanne Black,None,1960,4OgCE8bmGO7eatG3OuBEju,26,0.354,0.179,10,-9.088,1,0.0355,0.953,2.54E-06,0.114,0.427,166.375,164.44,3
52,53,Theme from The Apartment,Ferrante,Teicher,1960,7CUN42trHz1jiAooYUW1GC,18,0.886,0.399,2,-13.913,0,0.0599,0.295,0.254,0.0974,0.723,118.949,147.467,4
53,54,Volare,Bobby Rydell,None,1960,6aTY7Dx6719A0rTsYY7NgK,39,0.498,0.648,9,-6.355,0,0.0339,0.596,0,0.094,0.904,130.014,146.067,4
54,55,A Million to One,Jimmy Charles,None,1960,2HWaoy5exkRIulp61fOvQj,22,0.285,0.199,10,-16.101,1,0.0328,0.72,0,0.254,0.454,102.838,152.36,3
55,56,The Village of St. Bernadette,Andy Williams,None,1960,076MbdGIiRAfHrGuXXPmkz,13,0.173,0.266,8,-10.398,1,0.03,0.855,0,0.113,0.257,86.682,201.427,3
56,57,White Silver Sands,Bill Black's Combo,None,1960,7IS9MwiLJp91PEyoUDazqb,18,0.895,0.608,0,-7.224,1,0.0391,0.558,0.14,0.0659,0.96,117.705,154.427,4
57,58,The Old Lamp-Lighter,The Browns,None,1960,0gssZyDIxrn2CsokEML0xq,33,0.604,0.105,2,-16.78,1,0.0357,0.977,0,0.0993,0.553,92.238,141.12,4
58,59,Devil or Angel,Bobby Vee,None,1960,5JL4jmmogEql62ljHdlYP6,37,0.389,0.266,5,-11.791,1,0.0346,0.9,0,0.11,0.615,102.833,141.2,4
59,60,Down by the Station,The Four Preps,None,1960,3kpuidZaDOsLP3YgFi8sxu,22,0.754,0.442,3,-15.178,1,0.0403,0.324,0,0.0634,0.971,118.641,172.067,4
60,61,Forever,The Little Dippers,None,1960,5rWyKJMaTXL0TArnJ8IGts,45,0.519,0.45,5,-9.133,1,0.0244,0.281,6.12E-06,0.152,0.549,72.115,143.161,4
61,62,Image of a Girl,The Safaris,The Phantom's Band,1960,7KfwGraITe6aLd827Wq0bh,30,0.247,0.359,2,-8.888,1,0.0304,0.794,0,0.0699,0.449,185.652,162.267,3
62,63,Kiddio,Brook Benton,None,1960,7l9RNVHHVgG7mMqnRoEcjL,23,0.778,0.29,3,-12.873,1,0.0625,0.838,0.00053,0.21,0.768,112.047,152.307,4
63,64,Mission Bell,Donnie Brooks,None,1960,12zEAgwHjIQRYNiAAH5UiZ,10,0.572,0.418,2,-12.757,1,0.0528,0.844,0.283,0.222,0.592,81.481,143.96,4
64,65,I Love the Way You Love,Marv Johnson,None,1960,4AtIVBQQbBgeyIzazKhfIy,8,0.716,0.828,9,-6.236,1,0.0898,0.378,0,0.115,0.863,134.703,159.893,4
65,66,It's Time to Cry,Paul Anka,None,1960,6dAqyQn8GS2RYRqyP5eKTp,30,0.311,0.314,3,-12.81,1,0.0325,0.731,0,0.335,0.565,109.983,145.467,3
66,67,Tell Laura I Love Her,Ray Peterson,None,1960,7JhN1mVlxu5dZzE9QsP0NS,35,0.517,0.523,2,-7.764,1,0.0386,0.733,0,0.2,0.263,102.2,175.36,3
67,68,Mama,Connie Francis,None,1960,5htJrzx9BOWrWWuTFRbehY,27,0.271,0.208,0,-11.22,1,0.0314,0.9,0.000107,0.334,0.112,87.551,237.867,3
68,69,Footsteps,Steve Lawrence,None,1960,2z1mnBJRjXUpD2RFXRBm2p,39,0.641,0.468,2,-12.33,0,0.034,0.419,0,0.317,0.913,144.387,134.627,4
